URL handle,Title,Tags,Status
10-2-in-stainless-steel-frying-pan-with-glass-lid,10.2 in Stainless Steel Frying Pan with Glass Lid,"Borosilicate glass lid; stainless steel construction, cat:kitchen, cat:new-arrivals, Christmas, Classic/Heritage, Cooking & Baking, Cooking Together, Everyday Use, Frying Pan with Lid, Gifting, Glass, Housewarming, Minimalist, OLLAS ACERO INOXIDABLE, Organic Modern, seg:the-first-kitchen, seg:weeknight-ceremony, Self-Gift, Silver, Stainless steel, The Dinner Party, The Housewarming, Wedding, Wedding Season, kit:eligible",Active
12-cup-black-moka-pot-coffee-maker,12-Cup Black Moka Pot Coffee Maker,"12-cup capacity; aluminum body with polypropylene handle; hand-wash care helps preserve flavor., Aluminum, Black, cat:new-arrivals, cat:tabletop, Christmas, Coffee & Tea, Everyday Use, Father's Day, Gifting, Holiday Gift, Housewarming, Minimalist, MOKA, Moka Pot, Mother's Day, Organic Modern, Polypropylene, Scandinavian, seg:weeknight-ceremony, Self-Gift, Slow Mornings, The Coffee Ritual, The Overnight Guest, kit:eligible",Active
12-inch-stainless-steel-balloon-whisk,12-Inch Stainless Steel Balloon Whisk,"Balloon Whisk, cat:kitchen, cat:new-arrivals, Cooking & Baking, Cooking Together, Dishwasher-safe stainless steel; hanging loop for utensil hooks, Everyday Use, Gifting, Hostess Gift, Housewarming, Minimalist, Scandinavian, Self-Gift, Silver, Stainless steel, The Host's Touch, Wedding Season, Weekend Brunch, kit:eligible",Active
13-8-in-35-cm-artificial-pine-tree-with-jute-base,13.8 in (35 cm) Artificial Pine Tree with Jute Base,"Abeto, Artificial Tree, cat:decor, cat:new-arrivals, Chino, Christmas, Décor & Styling, Gifting, Green, Holiday Gift, Holiday Traditions, Hostess Gift, Housewarming, Japandi, Jute, New Year, No water or sunlight required; indoor use with dry-cloth care, Organic Modern, Polietileno, Scandinavian, Seasonal Tables, seg:someone-in-mind, Special Occasion, Thanksgiving, The Collected Home, kit:eligible",Active
15-cavity-silicone-heart-mold-in-gray,15-Cavity Silicone Heart Mold in Gray,"15 heart-shaped cavities; non-toxic silicone; freezer- and dishwasher-safe., Candy Mold, cat:kitchen, cat:new-arrivals, Cooking & Baking, Entertaining, Gifting, Gray, Hostess Gift, Hostess Gifts, Housewarming, Just Because, Minimalist, Mother's Day, Organic Modern, Scandinavian, Silicone, The Host's Touch, Valentine's Day, Wedding Season, kit:eligible",Active
15-cavity-star-silicone-mold-for-candy,15-Cavity Star Silicone Mold for Candy,"Bar & Barware, Candy Mold, cat:kitchen, cat:new-arrivals, Christmas, Cocktail Hour, Cooking & Baking, Fourth of July, Gifting, Gray, Holiday Gift, Holiday Traditions, Hostess Gift, Housewarming, Minimalist, New Year, Non-toxic silicone; freezer- and dishwasher-safe; heat-resistant, Organic Modern, Scandinavian, seg:season-opener, Silicone, The Tea Ritual, with no direct flame or hot-oil contact., kit:eligible",Active
17-7-in-faux-pine-tree-with-trunk-and-jute-base,17.7 in Faux Pine Tree with Trunk and Jute Base,"Abeto, and real Chinese fir; easy to clean with a dry cloth for indoor use., Artificial Tree, cat:decor, cat:new-arrivals, Chino, Christmas, Décor & Styling, Gifting, Green, Holiday Gift, Holiday Traditions, Hostess Gift, Housewarming, Jute, Made with polyethylene greenery, Minimalist, New Year, Organic Modern, Polietileno, Scandinavian, Seasonal Tables, seg:someone-in-mind, Special Occasion, Thanksgiving, The Host's Touch, kit:eligible",Active
22-fl-oz-acrylic-wine-glass-with-bamboo-stem,22 fl oz Acrylic Wine Glass with Bamboo Stem,"22 fl oz (650 mL) capacity; clear acrylic with bamboo stem, ACRILICO BAMBU, Acrylic, Bar & Barware, cat:new-arrivals, cat:outdoor, Clear, Coastal, Entertaining, Fourth of July, Hostess Gift, Housewarming, Minimalist, Organic Modern, Outdoor & Patio, Outdoor Living, Self-Gift, The Well-Set Bar, Wedding Season, Wine Glass, Wine Night, kit:eligible",Active
5-piece-bamboo-cooking-utensil-set,5-Piece Bamboo Cooking Utensil Set,"100% bamboo; gentle on nonstick cookware, Bamboo, BAMBU, cat:gifts, cat:kitchen, cat:new-arrivals, Cooking & Baking, Cooking Together, Cooking Utensil Set, Everyday Use, Gifting, Graduation Season, Hostess Gift, Hostess Gifts, Housewarming, Japandi, Minimalist, Natural Wood, Organic Modern, seg:first-dinner-party, Self-Gift, The Sunday Table, Wedding Season, kit:eligible",Active
5-piece-wine-tool-set-in-round-bamboo-box,5-Piece Wine Tool Set in Round Bamboo Box,"Aleacion, and silicone tools, Bamboo, Bamboo storage box; stainless steel, Bar & Barware, cat:bar-glassware, cat:gifts, cat:new-arrivals, Christmas, Entertaining, Father's Day, Gifting, Hostess Gift, Housewarming, Japandi, Minimalist, Organic Modern, seg:first-dinner-party, seg:the-full-table, Silicone, Silver, Stainless steel, The Dinner Party, The Well-Set Bar, Wedding, Wedding Season, Wine Night, Wine Tool Set, Zinc, zinc alloy, kit:eligible",Active
6-cup-nonstick-muffin-pan,6-Cup Nonstick Muffin Pan,"Al, Antiadherente, Black, Carbono, cat:kitchen, cat:new-arrivals, Christmas, Cooking & Baking, Everyday Use, Gifting, Hostess Gift, Hostess Gifts, Housewarming, Minimalist, Mother's Day, Muffin Pan, Nonstick coating; carbon steel construction for even heating, Organic Modern, Revestimiento, Self-Gift, Steel, Thanksgiving, The Sunday Table, Weekend Brunch, kit:eligible",Active
8-piece-stainless-steel-nonstick-cookware-set,8-Piece Stainless Steel Nonstick Cookware Set,"cat:gifts, cat:kitchen, cat:new-arrivals, Classic/Heritage, Cooking & Baking, Cooking Together, Cookware Set, Everyday Use, Gifting, Glass, Graduation, Graduation Season, Housewarming, Minimalist, Nonstick interiors; glass lids for covered cooking, OLLAS ACERO INOXIDABLE, Organic Modern, seg:first-dinner-party, seg:the-first-kitchen, seg:weeknight-ceremony, Silver, Stainless steel, The Dinner Party, The Housewarming, Wedding, Wedding Season, kit:eligible",Active
abe-silver-large-stainless-steel-serving-spoon,Abe Silver Large Stainless Steel Serving Spoon,"ABE, cat:kitchen, cat:new-arrivals, Christmas, Classic/Heritage, Entertaining, Everyday Use, Hostess Gift, Housewarming, Minimalist, Organic Modern, seg:the-first-kitchen, seg:the-full-table, Serving, Serving Spoon, Silver, Stainless steel, Stainless steel; dishwasher-safe when dried immediately, Thanksgiving, The Dinner Party, The Host's Touch, Wedding, Wedding Season, Weekend Gatherings, kit:eligible",Active
abe-silver-pasta-server-spoon,Abe Silver Pasta Server Spoon,"ABE, cat:kitchen, cat:new-arrivals, Cooking & Baking, Cooking Together, Entertaining, Hostess Gift, Hostess Gifts, Housewarming, Minimalist, Organic Modern, Pasta Server Spoon, Scandinavian, Self-Gift, Serving, Silver, Stainless steel, Stainless steel; dishwasher-safe with immediate drying., The Sunday Table, Wedding Season, kit:eligible",Active
abe-silver-stainless-steel-ladle,Abe Silver Stainless Steel Ladle,"ABE, cat:kitchen, cat:new-arrivals, Christmas, Classic/Heritage, Cooking Together, Entertaining, Everyday Use, Hostess Gift, Housewarming, Ladle, Minimalist, Scandinavian, seg:the-first-kitchen, Serving, Silver, Stainless steel, Stainless steel construction; dishwasher safe with immediate drying after washing, Thanksgiving, The Host's Touch, The Sunday Table, Wedding, Wedding Season, kit:eligible",Active
abe-silver-stainless-steel-potato-masher,Abe Silver Stainless Steel Potato Masher,"ABE, cat:kitchen, cat:new-arrivals, Christmas, Cooking & Baking, Cooking Together, Dishwasher-safe stainless steel; perforated round plate; compact 8.7 in (22 cm) length., Everyday Use, Gifting, Hostess Gift, Housewarming, Minimalist, Organic Modern, Potato Masher, Scandinavian, seg:weeknight-ceremony, Self-Gift, Silver, Stainless steel, Thanksgiving, The Sunday Table, Wedding Season, kit:eligible",Active
abe-silver-stainless-steel-skimmer-spoon,Abe Silver Stainless Steel Skimmer Spoon,"ABE, cat:kitchen, cat:new-arrivals, Christmas, Classic/Heritage, Cooking & Baking, Cooking Together, Everyday Use, Hostess Gift, Housewarming, Minimalist, Serving, Silver, Skimmer Spoon, Stainless steel, Stainless steel; dishwasher-safe with immediate drying, Thanksgiving, The Dinner Party, Wedding, Wedding Season, Weekend Gatherings, kit:eligible",Active
acacia-and-stainless-steel-bbq-tongs,Acacia and Stainless Steel BBQ Tongs,"BBQ, BBQ Tongs, cat:new-arrivals, cat:outdoor, Cooking & Baking, Entertaining, Father's Day, Fourth of July, Hostess Gift, Housewarming, Minimalist, Natural Wood, Organic Modern, Outdoor & Patio, Outdoor Living, Scandinavian, seg:the-first-kitchen, Silver, Stainless steel, Stainless steel construction; extra-long reach; natural wood handles, The Backyard BBQ, The Host's Touch, Wedding, Wedding Season, kit:eligible",Active
acacia-and-white-silicone-pastry-brush,Acacia and White Silicone Pastry Brush,"Acacia, cat:kitchen, cat:new-arrivals, Christmas, Cooking & Baking, Cooking Together, Everyday Use, Gifting, Heat-resistant silicone rated 5°F to 356°F (-15°C to 180°C); acacia wood handle with stainless steel collar; non-shedding silicone bristles, Hostess Gift, Housewarming, Japandi, Minimalist, Organic Modern, Pastry Brush, Recipes Worth Passing Down, Self-Gift, SILICONA ACACIA, Silicone, Stainless steel, Thanksgiving, The Sunday Table, Wedding Season, White, Wood, kit:eligible",Active
acacia-bbq-knife-and-fork-set,Acacia BBQ Knife and Fork Set,"Acacia, BBQ, BBQ Knife & Fork Set, Birthday, cat:gifts, cat:new-arrivals, cat:outdoor, Entertaining, Father's Day, Fourth of July, Holiday Gift, Housewarming, Minimalist, Natural Wood, Organic Modern, Outdoor & Patio, Outdoor Living, seg:season-opener, Serving, Stainless steel, Stainless steel and acacia wood; extra-long reach, Thanksgiving, The Backyard BBQ, Wabi-Sabi, Weekend Gatherings, Wood, kit:eligible",Active
