URL handle,Title,SKU,Option1 name,Option1 value,Tags
white-porcelain-pasta-plate,White Porcelain Pasta Plate,12,Title,Default Title,"Pasta Plate, White, Porcelain, SIMPLE, Minimalist, Scandinavian, Organic Modern, Housewarming, Wedding, Hostess Gift, Everyday Use, Entertaining, Serving, Wedding Season, The Sunday Table, The Dinner Party, Everyday Celebrations, Hotel-grade porcelain; microwave- and dishwasher-safe, cat:tabletop, cat:new-arrivals, seg:the-first-kitchen"
plain-white-porcelain-mug-12-5-fl-oz,"Plain White Porcelain Mug, 12.5 fl oz",30,Title,Default Title,"Mug, White, Porcelain, SIMPLE, Minimalist, Scandinavian, Japandi, Housewarming, Hostess Gift, Just Because, Everyday Use, Coffee & Tea, Gifting, Christmas, Slow Mornings, The Coffee Ritual, The Tea Ritual, Microwave-safe; dishwasher-safe, cat:tabletop, cat:new-arrivals"
white-porcelain-sweetener-packet-caddy,White Porcelain Sweetener Packet Caddy,35,Title,Default Title,"Sugar Packet Holder, White, Porcelain, Minimalist, Classic/Heritage, Scandinavian, Housewarming, Hostess Gift, Thank-You, Coffee & Tea, Entertaining, Serving, Mother's Day, Thanksgiving, Christmas, The Coffee Ritual, The Tea Ritual, The Host's Touch, Porcelain; dishwasher-safe; microwave-safe, cat:tabletop, cat:new-arrivals, seg:weeknight-ceremony"
stainless-steel-pizza-cutter-wheel,Stainless Steel Pizza Cutter Wheel,139,Title,Default Title,"Pizza Cutter, Silver, Stainless steel, Minimalist, Classic/Heritage, Organic Modern, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Entertaining, Serving, Wedding Season, Graduation Season, Weekend Gatherings, The Dinner Party, Open-Door Hospitality, Stainless steel construction; sharp rotating blade; two-sided finger guard, cat:kitchen, cat:new-arrivals, seg:first-dinner-party"
stainless-steel-cake-server-with-serrated-edge,Stainless Steel Cake Server with Serrated Edge,140,Title,Default Title,"Cake Server, Silver, Stainless steel, Minimalist, Scandinavian, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Serving, Entertaining, Gifting, Wedding Season, Thanksgiving, The Sunday Table, The Dinner Party, Hostess Gifts, Polished stainless steel; serrated edge, cat:kitchen, cat:new-arrivals, seg:first-dinner-party, seg:the-full-table"
stainless-steel-ice-cream-scoop,Stainless Steel Ice Cream Scoop,143,Title,Default Title,"Ice Cream Scoop, Silver, Stainless steel, Minimalist, Classic/Heritage, Organic Modern, Housewarming, Hostess Gift, Just Because, Everyday Use, Entertaining, Serving, Weekend Gatherings, The Host's Touch, Everyday Celebrations, Stainless steel construction; pointed upturned tip reaches container corners, cat:kitchen, cat:new-arrivals"
small-stainless-steel-locking-tongs,Small Stainless Steel Locking Tongs,150,Title,Default Title,"Locking Tongs, Silver, Black, Stainless steel, Organic Modern, Minimalist, Scandinavian, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Entertaining, Wedding Season, Cooking Together, The Dinner Party, The Host's Touch, Stainless steel construction; locking design for compact storage, cat:kitchen, cat:new-arrivals, seg:first-dinner-party"
cube-glass-sauce-bottle-16-9-fl-oz-500-ml,"Cube Glass Sauce Bottle, 16.9 fl oz (500 mL)",179,Title,Default Title,"Oil & Vinegar Dispenser, Clear, Glass, Tpe, Stainless steel, CUBO, Minimalist, Scandinavian, Organic Modern, Housewarming, Hostess Gift, Thank-You, Everyday Use, Entertaining, Serving, Wedding Season, Cooking Together, The Dinner Party, The Host's Touch, Glass does not retain odors; 16.9 fl oz (500 mL) capacity; stainless steel and TPE pour top., cat:kitchen, cat:new-arrivals"
cube-oil-vinegar-cruet-set-8-5-fl-oz-250-ml,"Cube Oil & Vinegar Cruet Set, 8.5 fl oz (250 mL)",183,Title,Default Title,"Oil & Vinegar Cruet Set, Clear, Glass, Tpe, Stainless steel, CUBO, Organic Modern, Minimalist, Classic/Heritage, Housewarming, Wedding, Hostess Gift, Everyday Use, Entertaining, Serving, Wedding Season, The Sunday Table, The Dinner Party, The Host's Touch, Gravity pour spouts; clear glass bottles with stainless steel rack and metal labels, cat:kitchen, cat:gifts, cat:new-arrivals, seg:first-dinner-party, seg:the-first-kitchen, seg:the-full-table"
silver-stainless-steel-can-opener-with-bottle-opener,Silver Stainless Steel Can Opener with Bottle Opener,242,Title,Default Title,"Can Opener, Silver, Iron, Laminado, Plastic, Abs, Stainless steel, Minimalist, Classic/Heritage, Housewarming, Hostess Gift, Self-Gift, Everyday Use, Cooking & Baking, Gifting, Thanksgiving, Cooking Together, Open-Door Hospitality, The Host's Touch, Sharp stainless steel cutting wheel; built-in bottle opener, cat:kitchen, cat:new-arrivals"
